"user_id","book_id","review_id","rating","review_text","date_added","date_updated","read_at","started_at","n_votes","n_comments"
"4672eb229c808b792b8ea95f01f19784","2657","8c1d2e40039b14092e8862b800cafa08",4,"R.I.P. Ms. Harper Lee, Feb. 19, 2016. Thank you for writing one of the great American novels.","Mon Jun 04 22:45:40 -0700 2012","Fri Feb 19 09:20:51 -0800 2016","Fri Jun 01 00:00:00 -0700 2012","",1,0
"5f550cc8d90df1759eda1496621187d8","2657","2bd32af9e8d75d5529771c6638958a1e",4,"Whoa. Its different from the way I remember the movie. The movie works as a movie, but the book sure works well as a book. The movie builds to a dramatic ending, but the book keeps you on the edge throughout, and has charming moments to boot. I can't get enough of the lawyer as hero! Well worth the read.","Thu Jun 08 22:37:49 -0700 2017","Tue Oct 03 00:07:23 -0700 2017","Mon Sep 25 00:18:30 -0700 2017","Sun Sep 10 19:47:38 -0700 2017",0,0
"eadf8c06370d9c6fd74121723c8d20e3","2657","a0832b500b363f1ea513fa03b1001014",5,"I love this book. It highlight something so simple that it misses us in everyday life. 
 It shows the human contradicting nature. 
 I don't think I hate to recap the values in it. It's been told many times. 
 A good book to read, a wonderful perspective to see from. 
 And in all, the story is alive. You cannot not live with it. 
 I guess if I have to say what I like, I wouldn't be able to say it. 
 Many times I feel that I can argue with the contents but in the end, it shoots right back at me. 
 They are not all right, nor am I all wrong. 
 But there's only reality and a wide view in which one cannot state his like or dislikes. 
 I have to stay and think for a while to come up for a better review. 
 But for now, this is it.","Thu Nov 15 01:50:50 -0800 2012","Sat Dec 15 21:31:08 -0800 2012","Sat Dec 15 00:00:00 -0800 2012","Thu Nov 15 00:00:00 -0800 2012",0,0
"ef5df7f9065022d65810776875a6d0c3","2657","0a78ea893d12bba2f1807eeb232b8c52",4,"To Kill A Mockingbird was actually quite interesting. I'm not a big fan of classics, thinking them outdated and hard to read but this novel was satisfying. It was a bit slow at the start, and then there was this sequence of seemingly random events through the novel, which confused me. But then I started to realize they were all symbolic events and they really drove the point forwards- of the inequality of the American South and the African Americans. I also really like the attitude of the Finches, especially that of Atticus Finch who has some pretty remarkable quotes in there.","Wed Nov 07 03:26:39 -0800 2012","Sat Jun 29 20:22:34 -0700 2013","","Mon Feb 04 00:00:00 -0800 2013",5,0
"b3339e93450363e6fc61e60f5ba022bf","2657","342251c04c62bda270a0da8282cfe112",5,"I can't believe I made it through high school without reading this one. I've always meant to read it but never had, but the audiobook version I listened to on my way home to visit family was excellent. The voice of Scout was well-chosen and all those country sayings had a lot of flavor when read aloud. The story is one that many better than I have critiqued, so I will say that it made me feel lots of feelings and feel glad that I don't live in that time. Though there are people of the future who will feel that way about our present and be glad they didn't live now for the very same reasons. Our prejudice may not be as blatant now, but it still exists and influences everyday life. What I found most awful was the fact that every single person in Scout's story seemed to have a prejudice against someone. The worst said it loudly and proudly, some said it while trying to help the less fortunate and patronizingly, some thought they weren't prejudiced (like Scout and Jim), but they had all those notions about Boo Radley. I think Atticus is the best person in the story, but even he had some prejudices against womenfolk and how they shouldn't be on a jury since they'd interrupt all the time. Everyone in town had someone to look down on. 
 Scout's teacher getting mad at her for reading incorrectly made me mad and then it was so ridiculous I had to giggle. I guess similar educational decisions throughout history have been just as silly. Hopefully they haven't been harmful, but I loved what Scout said about school and it is a good reminder to teachers that no matter what, we should make sure that this isn't what our kids are thinking! As I inched sluggishly along the treadmill of the Maycomb County school system, I could not help receiving the impression that I was being cheated out of something. Out of what, I knew not. Yet I did not believe that twelve years of unrelieved boredom was exactly what the state had in mind for me. 
 It was adorable that when Scout felt neglected by her 'future husband', Dill, she said she beat him up twice but it did no good. he he he. 
 Sometimes the Bible in the hand of one man is worse than a whiskey bottle in the hand of your father. 
 There are just some kind of men who are so busy worrying about the next world they've never learned to live in this one. 
 The one thing that doesn't abide by majority rule is a person's conscience. 
 The scene in front of the door of the jail was horrifying and the fact that an innocent girl's questions and conversation was the only thing that saved everyone from violence was awful. The mob mentality described was spot on. 
 All the little man on the witness stand had that made him any better than his nearest neighbors was that if scrubbed with lye soap and very hot water, his skin was white. 
 We're so rarely called on to be Christians, but when we are, we've got men like Atticus to go for us. 
 I thought Dill's idea about becoming a clown since he thought he couldn't do anything about the people being crappy so he might as well laugh at them. 
 The absolute hypocrisy of the people being upset about the persecution of the Jews in Europe while they stepped all over the black people here at home was maddening. I want to go back in time and ask how the hell they reconciled that in their brains. 
 The discussion of why some families were better than others between the kids was funny and insightful. They couldn't figure out why some families were older than others if they all had ancestors anyway. Aunt Alexandra's insistence that their family was old and better than others was confusing to them. They conclude that all the families are alike, but then wonder why they all hate each other if that is true. Then Jim sums it up by saying he understands why Boo Radley stayed inside his house all the time. (To stay away from the awful humans all around him). 
 I thought the description of the society of ladies was spot-on. The ladies all had an air of quiet and respect but sat there making scathing comments couched in innocent conversation that was just as biting as the out-right insults that the men used. Scout preferred the forthrightness of the men since it got out there and then the subsequent fight would settle things. 
 In the secret courts of men's hearts, Atticus had no case. Tom was a dead man the minute Mayella Ewell opened her mouth and screamed.","Tue Sep 23 16:36:03 -0700 2014","Fri Aug 11 11:22:03 -0700 2017","Fri Aug 11 11:22:04 -0700 2017","",0,0
"1c845473e18c23f917126cb29bc8d243","2657","3a072b7672ea28a606bd31b6190173e0",5,"Still as wonderful as I remember.","Sun Oct 06 22:45:23 -0700 2013","Thu Jul 23 09:57:25 -0700 2015","Thu Jul 23 09:57:25 -0700 2015","Sun Jul 19 00:00:00 -0700 2015",0,0
"c4f655f2ed79599a9259d7762313f3f3","2657","198e498f1069a5526b0667da5b5ff81f",5,"The setting is a small southern town, the time is the Great Depression, just before WW II. Jem and Scout are growing up without their mother, but surrounded by caring neighbors. When their father Atticus is assigned to defend a black man accused of raping a white woman, their lives are changed forever. Harper Lee is a gifted storyteller. Her sentences are so beautifully written and so layered. Her sense of humor is acute and Scout's voice is especially precocious and charming. I can't imagine getting tired of this book, ever. Every time I read it, I get something new out of it. Reading it with my son was a great experience. He often wanted to stop and discuss issues that came up in the book, and it added a lot to the experience. He did make fun of me a little when I cried at the end. It always gets me when Atticus says thank you to Boo Radley. Every time.","Mon Jun 15 07:25:44 -0700 2009","Sun Jan 13 12:46:42 -0800 2013","Fri Jan 11 00:00:00 -0800 2013","",0,0
"795ed3fcf5aa6c1a00b75b19abf2e892","2657","3ddd3611c3c38a6f50b5be289173d741",5,"Thoroughly enjoyed reading this book. I especially loved the second half; the court case was so interesting and brilliantly written. I would love to study this book and really analyse it as it covers so many important topics, ranging from racism, social class divides and injustice within society in southern America in the 1960's. The story is told both from a child's perspective (Scout) which gives an innocence and naivety to situations, but also from Scout reflecting on the events as an adult. The characters are extremely endearing and likeable and the acts of bravery they displayed were heart warming. A wonderful coming of age classic!","Sun Dec 09 16:13:41 -0800 2012","Thu Aug 15 11:14:24 -0700 2013","Sat Aug 10 00:00:00 -0700 2013","Sun Aug 04 00:00:00 -0700 2013",0,0
"a9091e712f89280c3012684ec029d2a5","2657","b76952ddc99f03f0f572c2100bef6d01",5,"Because of The Big Read, I both read this and listened to it this spring. For a book that I have read several times and now listened to - it never gets old. How Harper Lee managed to write this book at all; let alone write it as a first novel is beyond my comprehension.","Mon Mar 24 19:38:06 -0700 2008","Mon Jan 09 18:56:58 -0800 2017","Fri Feb 01 00:00:00 -0800 2008","",1,0
"c20a4ccba3461dba27d55e31ccbdc888","2657","83de9c5bdf19805f78cad7f9a0b78d32",5,"Great book, true classic, every time you read it you get a little more out of it, or see something in a different light. If you haven't read it you really should, it belongs on everyone's bucket list.","Thu Jun 14 16:28:47 -0700 2012","Mon Oct 21 17:45:57 -0700 2013","Wed Oct 16 00:00:00 -0700 2013","Mon Oct 07 00:00:00 -0700 2013",0,0
